Date,Close,Adj Close,Volume,High,Low,SMA,MACD,upper_band,middle_band,lower_band,supertrend_signal,RSI,aroon_up,aroon_down,kicking,upper_band_supertrend,lower_band_supertrend
2012-11-12,19.386786,16.601572,515802000,19.803572,19.237499,20.91716828571429,-0.19960044690364553,23.813218771086454,21.430142850000003,19.04706692891355,0,27.50077300084949,4.0,92.0,0.0,0.0,0.0
2012-11-13,19.389286,16.603706,532949200,19.66,19.155714,20.684693785714284,-0.17510494124432263,23.76338542311811,21.275125,18.78686457688189,0,27.53828726500373,28.000000000000004,88.0,0.0,0.0,0.0
2012-11-14,19.174286,16.4196,477170400,19.551786,19.149286,20.489591785714286,-0.15682858772945696,23.662137382835013,21.100339299999998,18.538541217164983,0,26.27891639409387,24.0,100.0,0.0,0.0,0.0
2012-11-15,18.772142,16.075228,789910800,19.267857,18.665001,20.256913214285714,-0.15499400374812622,23.440408599757266,20.87860715,18.316805700242735,0,24.062341448443078,20.0,100.0,0.0,0.0,0.0
2012-11-16,18.845715,16.138231,1266893600,18.928572,18.0625,20.048086785714286,-0.13284856403926182,23.179050092494688,20.6698036,18.160557107505316,0,25.303695421476633,16.0,96.0,0.0,0.0,0.0
2012-11-19,20.204643,17.301929,823317600,20.267857,19.281429,19.950459285714285,-0.016802431963882647,22.904416265125107,20.55032145,18.19622663487489,0,43.63236415707539,12.0,92.0,0.0,0.0,0.0
2012-11-20,20.032499,17.154518,642754000,20.426786,19.806429,19.86267857142857,0.05434436289216871,22.756945134874577,20.462946350000003,18.16894756512543,0,42.219107688547346,8.0,88.0,0.0,0.0,0.0
2012-11-21,20.060715,17.178679,373002000,20.263214,19.878571,19.773801071428572,0.10628213579973833,22.401809205758596,20.33378565,18.265762094241403,0,42.54758754796289,4.0,84.0,0.0,0.0,0.0
2012-11-23,20.410713,17.478388,272826400,20.428572,20.092857,19.760280571428574,0.16375053902410786,22.198458958424172,20.2590356,18.31961224157583,0,46.602662656211294,4.0,80.0,0.0,0.0,0.0
2012-11-26,21.054644,18.02981,630579600,21.071428,20.489643,19.772806142857142,0.240057742303026,22.013462311618277,20.2102857,18.407109088381723,0,53.15388933962445,12.0,76.0,0.0,0.0,0.0
2012-11-27,20.885,17.884537,533330000,21.08643,20.717857,19.77772964285714,0.27170499480652066,21.853844659563336,20.16607145,18.478298240436665,0,51.365912506594036,8.0,72.0,0.0,0.0,0.0
2012-11-28,20.819286,17.828268,520864400,20.921429,20.437857,19.84135207142857,0.2797145532573021,21.72008417715058,20.128464349999998,18.536844522849417,0,50.65510155164254,4.0,68.0,0.0,0.0,0.0
2012-11-29,21.048571,18.02462,514698800,21.223213,20.901787,19.973010214285715,0.2906772096861535,21.681598307081,20.11782145,18.554044592919002,0,53.09408653573628,8.0,64.0,0.0,0.0,0.0
2012-11-30,20.902857,17.899839,391319600,21.014286,20.809999,20.07051021428571,0.2783220578789227,21.60938835542808,20.0977143,18.58604024457192,0,51.356785728429955,4.0,60.0,0.0,0.0,0.0
2012-12-03,20.935356,17.927664,364280000,21.235357,20.910713,20.181122357142858,0.26273821813726,21.655230084589917,20.1144821,18.573734115410083,0,51.736104764967166,4.0,56.00000000000001,0.0,0.0,0.0
